Activity;Product;Geography;Matched Substance;Color;Formula;Product_Percentage;Atomic_Percentage;Final_Percentage
petroleum and gas production, onshore;petroleum;KZ;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;LY;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;LY;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;MX;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;MX;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;MY;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;MY;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;NG;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;NG;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;NL;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;NL;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;OM;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;OM;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;PE;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;PE;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;PL;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;PL;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;QA;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;QA;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;RO;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;RO;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;RU;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;RU;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;SA;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;SA;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;TH;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;TH;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;TM;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;TM;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;TR;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;TR;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;TT;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;TT;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;US;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;US;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;UZ;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;UZ;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;VE;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;VE;Oil, crude;#c5b0d5;;1;100;100
petroleum combustion, in drilling tests;petroleum combustion, in drilling tests;GLO;Oil, crude;#c5b0d5;;1;100;100
petroleum refinery operation;diesel;CH;Oil, crude;#c5b0d5;;1;100;100
petroleum refinery operation;electricity, high voltage;CH;electricity, high voltage;;;1;100;100
petroleum refinery operation;light fuel oil;CH;Oil, crude;#c5b0d5;;1;100;100
petroleum refinery operation;liquefied petroleum gas;CH;Oil, crude;;;1;100;100
petroleum refinery operation;naphtha;CH;Oil, crude;#c5b0d5;;1;100;100
petroleum refinery operation;petrol, unleaded;CH;Lead;#2ca02c;Pb;1;100;100
petroleum refinery operation;refinery gas;CH;Gas, natural;#e377c2;;1;100;100
petroleum refinery operation;sulfur;CH;Sulfur;#2ca02c;S;1;100;100
phosphate rock beneficiation;phosphate rock, beneficiated;RoW;Phosphorus;#c7c7c7;P;1;100;100
phosphate rock beneficiation;phosphate rock, beneficiated;MA;Phosphorus;#c7c7c7;P;1;100;100
phosphate rock beneficiation;phosphate rock, beneficiated;RER;Phosphorus;#c7c7c7;P;1;100;100
phosphate rock beneficiation;phosphate rock, beneficiated;US;Phosphorus;#c7c7c7;P;1;100;100
platinum group metal mine operation, ore with high palladium content;copper, cathode;RU;Copper;#9467bd;Cu;1;100;100
platinum group metal mine operation, ore with high palladium content;nickel, class 1;RU;Nickel;#c49c95;Ni;1;100;100
platinum group metal mine operation, ore with high palladium content;palladium;RU;Palladium;#f7b6d3;Pd;1;100;100
platinum group metal mine operation, ore with high palladium content;platinum;RU;Platinum;#bcbd23;Pt;1;100;100
platinum group metal mine operation, ore with high palladium content;rhodium;RU;Rhodium;#9edae6;Rh;1;100;100
platinum group metal, mine and concentration operations;platinum group metal concentrate;ZA;platinum group metal concentrate;;;1;100;100
portafer production;portafer;CA-QC;portafer;;;1;100;100
portafer production;portafer;RoW;portafer;;;1;100;100
portafer production;portafer;RER;portafer;;;1;100;100
potash salt production;potash salt;RoW;potash salt;;;1;100;100
potash salt production;potash salt;RER;potash salt;;;1;100;100
potassium chloride production;potassium chloride;RoW;Potassium;#dbdb8d;K;1;52.44693709;52.44693709
potassium mining and benefication;potassium chloride;CA-SK;Potassium;#dbdb8d;K;1;52.44693709;52.44693709
pumice quarry operation;pumice;DE;Pumice;#17becf;;1;100;100
pumice quarry operation;pumice;RoW;Pumice;#17becf;;1;100;100
rare earth element mine operation and beneficiation, bastnaesite and monazite ore;iron ore concentrate;CN-NM;Iron;#ffbb78;Fe;1;100;100
rare earth element mine operation and beneficiation, bastnaesite and monazite ore;rare earth oxide concentrate, 50% REO;CN-NM;Rare earth;#000000;Ho2O3;0.5;100;50
rare earth element mine operation and beneficiation, bastnaesite ore;rare earth oxide concentrate, 70% REO;CN-SC;Rare earth;#000000;Ho2O3;0.7;100;70
rare earth element mine operation and beneficiation, ion adsorption clays;rare earth carbonate concentrate;CN;Rare earth;#000000;Ho2O3;1;100;100
rare earth element mine operation and beneficiation, ion adsorption clays;rare earth carbonate concentrate;RoW;Rare earth;#000000;Ho2O3;1;100;100
sand quarry operation, extraction from river bed;sand;BR;sand;;O2Si;1;100;100
sand quarry operation, extraction from river bed;sand;RoW;sand;;O2Si;1;100;100
sand quarry operation, extraction from river bed;sand;IN;sand;;O2Si;1;100;100
sand quarry operation, open pit mine;sand;BR;sand;;O2Si;1;100;100
shale quarry operation;shale;CA-QC;Shale;#98df8a;;1;100;100
shale quarry operation;shale;RoW;Shale;#98df8a;;1;100;100
silver mine operation with extraction;lead concentrate;PE;Lead;#2ca02c;Pb;1;100;100
silver mine operation with extraction;silver, unrefined;PE;Silver;#1f77b4;Ag;1;100;100
silver mine operation with extraction;zinc concentrate;PE;Zinc;#8c564b;Zn;1;100;100
silver-gold mine operation with refinery;gold;CL;Gold;#dbdb8d;Au;1;100;100
silver-gold mine operation with refinery;silver;CL;Silver;#1f77b4;Ag;1;100;100
silver-gold mine operation with refinery;gold;RoW;Gold;#dbdb8d;Au;1;100;100
silver-gold mine operation with refinery;silver;RoW;Silver;#1f77b4;Ag;1;100;100
sodium borate mine operation and beneficiation;sodium borates;RoW;Sodium;#d62728;Na;1;100;100
sodium borate mine operation and beneficiation;sodium borates;US;Sodium;#d62728;Na;1;100;100
sodium chloride production, brine solution;sodium chloride, brine solution;RoW;Sodium;#d62728;Na;1;100;100
sodium chloride production, brine solution;sodium chloride, brine solution;RER;Sodium;#d62728;Na;1;100;100
sodium chloride production, powder;sodium chloride, powder;RoW;Sodium;#d62728;Na;1;100;100
sodium chloride production, powder;sodium chloride, powder;RER;Sodium;#d62728;Na;1;100;100
sodium nitrate production, unrefined from caliche ore mining;sodium nitrate, unrefined;CL;Sodium;#d62728;Na;1;100;100
sodium perborate production, monohydrate, powder;sodium perborate, monohydrate, powder;RoW;Sodium;#d62728;Na;1;100;100
sodium perborate production, monohydrate, powder;sodium perborate, monohydrate, powder;RER;Sodium;#d62728;Na;1;100;100
sodium perborate production, tetrahydrate, powder;sodium perborate, tetrahydrate, powder;RoW;Sodium;#d62728;Na;1;100;100
sodium perborate production, tetrahydrate, powder;sodium perborate, tetrahydrate, powder;RER;Sodium;#d62728;Na;1;100;100
sodium percarbonate production, powder;sodium percarbonate, powder;RoW;Sodium;#d62728;Na;1;100;100
sodium percarbonate production, powder;sodium percarbonate, powder;RER;Sodium;#d62728;Na;1;100;100
sodium sulfate production, from natural sources;sodium sulfate, anhydrite;RoW;Anhydrite;#1f77b4;CaSO4;1;100;100
sodium sulfate production, from natural sources;sodium sulfate, anhydrite;RER;Anhydrite;#1f77b4;CaSO4;1;100;100
sour gas, burned in gas turbine;sour gas, burned in gas turbine;RoW;Gas, natural;#e377c2;;1;100;100
sour gas, burned in gas turbine;sour gas, burned in gas turbine;NO;Gas, natural;#e377c2;;1;100;100
spodumene production;spodumene;AU;Spodumene;#aec7e8;AlLiO6Si2;1;100;100
spodumene production;spodumene;RoW;Spodumene;#aec7e8;AlLiO6Si2;1;100;100
steatite quarry operation;steatite;CA-QC;Steatite;#ff7f0e;;1;100;100
steatite quarry operation;steatite;RoW;Steatite;#ff7f0e;;1;100;100
stibnite mine operation and beneficiation;stibnite concentrate;CA-QC;stibnite concentrate;;;1;100;100
stibnite mine operation and beneficiation;stibnite concentrate;CN;stibnite concentrate;;;1;100;100
stibnite mine operation and beneficiation;stibnite concentrate;RoW;stibnite concentrate;;;1;100;100
strontium mine operation and beneficiation;strontium sulfate, 90% SrSO4;CN;Strontium;#ffbb78;Sr;0.9;100;90
strontium mine operation and beneficiation;strontium sulfate, 90% SrSO4;ES;Strontium;#ffbb78;Sr;0.9;100;90
strontium mine operation and beneficiation;strontium sulfate, 90% SrSO4;RoW;Strontium;#ffbb78;Sr;0.9;100;90
sweet gas, burned in gas turbine;sweet gas, burned in gas turbine;GLO;sweet gas;;;1;100;100
tantalum mine operation and beneficiation;tantalum concentrate, 30% Ta2O5;CD;Tantalum;#98df8a;Ta;0.3;100;30
tantalum mine operation and beneficiation;tantalum concentrate, 30% Ta2O5;RoW;Tantalum;#98df8a;Ta;0.3;100;30
tantalum mine operation and beneficiation;tantalum concentrate, 30% Ta2O5;RW;Tantalum;#98df8a;Ta;0.3;100;30
tin mine operation;tin concentrate;RoW;Tin;#d62728;Sn;1;100;100
tin mine operation;tin concentrate;PE;Tin;#d62728;Sn;1;100;100
treatment of waste natural gas, sour, burned in production flare;waste natural gas, sour;GLO;waste natural gas, sour;;;1;100;100
treatment of waste natural gas, sweet, burned in production flare;waste natural gas, sweet;GLO;waste natural gas, sweet;;;1;100;100
tungsten mine operation and beneficiation;tungsten concentrate;CN;Tungsten;#ff9896;W;1;100;100
tungsten mine operation and beneficiation;tungsten concentrate;RoW;Tungsten;#ff9896;W;1;100;100
uranium mine operation, open cast;uranium ore, as U;RoW;Uranium;#9467bd;U;1;100;100
uranium mine operation, open cast;uranium ore, as U;RNA;Uranium;#9467bd;U;1;100;100
uranium mine operation, underground;uranium ore, as U;RoW;Uranium;#9467bd;U;1;100;100
uranium mine operation, underground;uranium ore, as U;RNA;Uranium;#9467bd;U;1;100;100
uranium production, in yellowcake, in-situ leaching;uranium, in yellowcake;GLO;Uranium;#9467bd;U;1;100;100
vanadium-titanomagnetite mine operation and beneficiation;iron ore concentrate;CN;Iron;#ffbb78;Fe;1;100;100
vanadium-titanomagnetite mine operation and beneficiation;pig iron;CN;Iron;#ffbb78;Fe;1;100;100
vanadium-titanomagnetite mine operation and beneficiation;titania slag, 94% titanium dioxide;CN;Titanium;#ff7f0e;Ti;0.94;100;94
vermiculite mine operation;vermiculite;RoW;Vermiculite;#c5b0d5;;1;100;100
vermiculite mine operation;vermiculite;ZA;Vermiculite;#c5b0d5;;1;100;100
wax production, for lost-wax metal casting;wax, lost-wax casting;GLO;Tin;#d62728;Sn;1;100;100
zeolite production, powder;zeolite, powder;RoW;zeolite, powder;;;1;100;100
zeolite production, powder;zeolite, powder;RER;zeolite, powder;;;1;100;100
zeolite production, slurry, without water, in 50% solution state;zeolite, slurry, without water, in 50% solution state;RoW;solution state;;;0.5;100;50
zeolite production, slurry, without water, in 50% solution state;zeolite, slurry, without water, in 50% solution state;RER;solution state;;;0.5;100;50
zinc mine operation;bulk lead-zinc concentrate;GLO;Lead;#2ca02c;Pb;1;100;100
zinc mine operation;copper concentrate, sulfide ore;GLO;Copper;#9467bd;Cu;1;100;100
zinc mine operation;gold, unrefined;GLO;Gold;#dbdb8d;Au;1;100;100
zinc mine operation;lead concentrate;GLO;Lead;#2ca02c;Pb;1;100;100
zinc mine operation;lime;GLO;lime;;CaO;1;100;100
zinc mine operation;quicklime, milled, loose;GLO;quicklime, milled, loose;;;1;100;100
zinc mine operation;sand;GLO;sand;;O2Si;1;100;100
zinc mine operation;zinc concentrate;GLO;Zinc;#8c564b;Zn;1;100;100
