Activity;Product;Geography;Matched Substance;Color;Formula;Product_Percentage;Atomic_Percentage;Final_Percentage
ferrochromium production, high-carbon, 55% Cr;ferrochromium, high-carbon, 55% Cr;ZA;Chromium;#f7b6d2;Cr;0.55;100;55
ferromanganese production, high-coal, 74.5% Mn;ferromanganese, high-coal, 74.5% Mn;RoW;Manganese;#7f7f7f;Mn;0.745;100;74.5
ferromanganese production, high-coal, 74.5% Mn;ferromanganese, high-coal, 74.5% Mn;RER;Manganese;#7f7f7f;Mn;0.745;100;74.5
ferronickel production;ferronickel;GLO;Nickel;#c49c94;Ni;1;100;100
fluorspar production, 97% purity;fluorspar, 97% purity;GLO;Fluorspar;#c7c7c7;CaF2;0.97;100;97
gallium, in Bayer liquor from aluminium production;gallium, in Bayer liquor from aluminium production;GLO;Gallium;#bcbd22;Ga;1;100;100
gold mine operation and gold production, unrefined;gold, unrefined;RoW;Gold;#dbdb8d;Au;1;100;100
gold mine operation and gold production, unrefined;gold, unrefined;ZA;Gold;#dbdb8d;Au;1;100;100
gold mine operation and refining;copper, cathode;SE;Copper;#9467bd;Cu;1;100;100
gold mine operation and refining;gold;SE;Gold;#dbdb8d;Au;1;100;100
gold mine operation and refining;lead;SE;Lead;#2ca02c;Pb;1;100;100
gold mine operation and refining;silver;SE;Silver;#1f77b4;Ag;1;100;100
gold mine operation and refining;zinc;SE;Zinc;#8c564b;Zn;1;100;100
gold mine operation with extraction;gold-silver, ingot;PE;Gold;#dbdb8d;Au;1;100;100
gold production;gold;AU;Gold;#dbdb8d;Au;1;100;100
gold production;gold;CA;Gold;#dbdb8d;Au;1;100;100
gold production;gold;TZ;Gold;#dbdb8d;Au;1;100;100
gold production;gold;US;Gold;#dbdb8d;Au;1;100;100
gold-silver mine operation and beneficiation;copper concentrate, sulfide ore;CA-QC;Copper;#9467bd;Cu;1;100;100
gold-silver mine operation and beneficiation;gold-silver, ingot;CA-QC;Gold;#dbdb8d;Au;1;100;100
gold-silver mine operation and beneficiation;lead concentrate;CA-QC;Lead;#2ca02c;Pb;1;100;100
gold-silver mine operation and beneficiation;zinc concentrate;CA-QC;Zinc;#8c564b;Zn;1;100;100
gold-silver mine operation with refinery;gold;CA-QC;Gold;#dbdb8d;Au;1;100;100
gold-silver mine operation with refinery;silver;CA-QC;Silver;#1f77b4;Ag;1;100;100
gold-silver mine operation with refinery;gold;RoW;Gold;#dbdb8d;Au;1;100;100
gold-silver mine operation with refinery;silver;RoW;Silver;#1f77b4;Ag;1;100;100
gold-silver mine operation with refinery;gold;PG;Gold;#dbdb8d;Au;1;100;100
gold-silver mine operation with refinery;silver;PG;Silver;#1f77b4;Ag;1;100;100
graphite production;graphite;RoW;Graphite;#17becf;C;1;100;100
graphite production;graphite;RER;Graphite;#17becf;C;1;100;100
gravel and sand quarry operation;gravel, round;CH;Gravel;#9edae5;;1;100;100
gravel and sand quarry operation;sand;CH;sand;;O2Si;1;100;100
gravel and sand quarry operation;gravel, round;RoW;Gravel;#9edae5;;1;100;100
gravel and sand quarry operation;sand;RoW;sand;;O2Si;1;100;100
gravel production, crushed;gravel, crushed;BR;Gravel;#9edae5;;1;100;100
gravel production, crushed;gravel, crushed;CA-QC;Gravel;#9edae5;;1;100;100
gravel production, crushed;gravel, crushed;CH;Gravel;#9edae5;;1;100;100
gravel production, crushed;gravel, crushed;RoW;Gravel;#9edae5;;1;100;100
gravel production, crushed;gravel, crushed;IN;Gravel;#9edae5;;1;100;100
gypsum quarry operation;anhydrite rock;CH;Anhydrite;#1f77b4;CaSO4;1;100;100
