method;category;indicator;unitName;index
CML v4.8 2016 no LT;acidification no LT;acidification (incl. fate, average Europe total, A&B) no LT;kg SO2-Eq;0
CML v4.8 2016 no LT;climate change no LT;global warming potential (GWP100) no LT;kg CO2-Eq;1
CML v4.8 2016 no LT;ecotoxicity: freshwater no LT;freshwater aquatic ecotoxicity (FAETP inf) no LT;kg 1,4-DCB-Eq;2
CML v4.8 2016 no LT;ecotoxicity: marine no LT;marine aquatic ecotoxicity (MAETP inf) no LT;kg 1,4-DCB-Eq;3
CML v4.8 2016 no LT;ecotoxicity: terrestrial no LT;terrestrial ecotoxicity (TETP inf) no LT;kg 1,4-DCB-Eq;4
CML v4.8 2016 no LT;energy resources: non-renewable no LT;abiotic depletion potential (ADP): fossil fuels no LT;MJ;5
CML v4.8 2016 no LT;eutrophication no LT;eutrophication (fate not incl.) no LT;kg PO4-Eq;6
CML v4.8 2016 no LT;human toxicity no LT;human toxicity (HTP inf) no LT;kg 1,4-DCB-Eq;7
CML v4.8 2016 no LT;material resources: metals/minerals no LT;abiotic depletion potential (ADP): elements (ultimate reserves) no LT;kg Sb-Eq;8
CML v4.8 2016 no LT;ozone depletion no LT;ozone layer depletion (ODP steady state) no LT;kg CFC-11-Eq;9
CML v4.8 2016 no LT;photochemical oxidant formation no LT;photochemical oxidation (high NOx) no LT;kg ethylene-Eq;10
CML v4.8 2016;acidification;acidification (incl. fate, average Europe total, A&B);kg SO2-Eq;11
CML v4.8 2016;climate change;global warming potential (GWP100);kg CO2-Eq;12
CML v4.8 2016;ecotoxicity: freshwater;freshwater aquatic ecotoxicity (FAETP inf);kg 1,4-DCB-Eq;13
CML v4.8 2016;ecotoxicity: marine;marine aquatic ecotoxicity (MAETP inf);kg 1,4-DCB-Eq;14
CML v4.8 2016;ecotoxicity: terrestrial;terrestrial ecotoxicity (TETP inf);kg 1,4-DCB-Eq;15
CML v4.8 2016;energy resources: non-renewable;abiotic depletion potential (ADP): fossil fuels;MJ;16
CML v4.8 2016;eutrophication;eutrophication (fate not incl.);kg PO4-Eq;17
CML v4.8 2016;human toxicity;human toxicity (HTP inf);kg 1,4-DCB-Eq;18
CML v4.8 2016;material resources: metals/minerals;abiotic depletion potential (ADP): elements (ultimate reserves);kg Sb-Eq;19
CML v4.8 2016;ozone depletion;ozone layer depletion (ODP steady state);kg CFC-11-Eq;20
CML v4.8 2016;photochemical oxidant formation;photochemical oxidation (high NOx);kg ethylene-Eq;21
Crustal Scarcity Indicator 2020;material resources: metals/minerals;crustal scarcity potential (CSP);kg Si-Eq;22
Cumulative Energy Demand (CED);energy resources: non-renewable;energy content (HHV);MJ-Eq;23
Cumulative Energy Demand (CED);energy resources: non-renewable, biomass;energy content (HHV);MJ-Eq;24
Cumulative Energy Demand (CED);energy resources: non-renewable, fossil;energy content (HHV);MJ-Eq;25
Cumulative Energy Demand (CED);energy resources: non-renewable, nuclear;energy content (HHV);MJ-Eq;26
Cumulative Energy Demand (CED);energy resources: renewable;energy content (HHV);MJ-Eq;27
Cumulative Energy Demand (CED);energy resources: renewable, biomass;energy content (HHV);MJ-Eq;28
Cumulative Energy Demand (CED);energy resources: renewable, geothermal;energy content (HHV);MJ-Eq;29
Cumulative Energy Demand (CED);energy resources: renewable, geothermal, solar, wind;energy content (HHV);MJ-Eq;30
Cumulative Energy Demand (CED);energy resources: renewable, solar;energy content (HHV);MJ-Eq;31
Cumulative Energy Demand (CED);energy resources: renewable, water;energy content (HHV);MJ-Eq;32
Cumulative Energy Demand (CED);energy resources: renewable, wind;energy content (HHV);MJ-Eq;33
Cumulative Energy Demand (CED);total;energy content (HHV);MJ-Eq;34
Cumulative Exergy Demand (CExD);energy resources: non-renewable;exergy content;MJ-Eq;35
Cumulative Exergy Demand (CExD);energy resources: non-renewable, biomass;exergy content;MJ-Eq;36
Cumulative Exergy Demand (CExD);energy resources: non-renewable, fossil;exergy content;MJ-Eq;37
Cumulative Exergy Demand (CExD);energy resources: non-renewable, nuclear;exergy content;MJ-Eq;38
Cumulative Exergy Demand (CExD);energy resources: renewable;exergy content;MJ-Eq;39
Cumulative Exergy Demand (CExD);energy resources: renewable, biomass;exergy content;MJ-Eq;40
Cumulative Exergy Demand (CExD);energy resources: renewable, solar;exergy content;MJ-Eq;41
Cumulative Exergy Demand (CExD);energy resources: renewable, water;exergy content;MJ-Eq;42
Cumulative Exergy Demand (CExD);energy resources: renewable, wind;exergy content;MJ-Eq;43
Cumulative Exergy Demand (CExD);material resources;exergy content;MJ-Eq;44
Cumulative Exergy Demand (CExD);material resources: metals;exergy content;MJ-Eq;45
Cumulative Exergy Demand (CExD);material resources: minerals;exergy content;MJ-Eq;46
Cumulative Exergy Demand (CExD);material resources: water;exergy content;MJ-Eq;47
Cumulative Exergy Demand (CExD);total;exergy content;MJ-Eq;48
Ecological Footprint;CO2;global hectares;m2a;49
Ecological Footprint;land occupation;global hectares;m2a;50
Ecological Footprint;nuclear;global hectares;m2a;51
Ecological Footprint;total;global hectares;m2a;52
Ecological Scarcity 2021 no LT;climate change no LT;global warming potential (GWP100) no LT;UBP;53
Ecological Scarcity 2021 no LT;emissions to air no LT;air pollutants and PM no LT;UBP;54
Ecological Scarcity 2021 no LT;emissions to air no LT;carcinogenic substances into air no LT;UBP;55
Ecological Scarcity 2021 no LT;emissions to air no LT;heavy metals into air no LT;UBP;56
Ecological Scarcity 2021 no LT;emissions to air no LT;radioactive substances into air no LT;UBP;57
Ecological Scarcity 2021 no LT;emissions to soil no LT;heavy metals into soil no LT;UBP;58
Ecological Scarcity 2021 no LT;emissions to soil no LT;pesticides into soil no LT;UBP;59
Ecological Scarcity 2021 no LT;emissions to water no LT;heavy metals into water no LT;UBP;60
Ecological Scarcity 2021 no LT;emissions to water no LT;POP into water no LT;UBP;61
Ecological Scarcity 2021 no LT;emissions to water no LT;radioactive substances into water no LT;UBP;62
Ecological Scarcity 2021 no LT;emissions to water no LT;water pollutants no LT;UBP;63
Ecological Scarcity 2021 no LT;energy resources no LT;energy resources no LT;UBP;64
Ecological Scarcity 2021 no LT;land use no LT;land use no LT;UBP;65
Ecological Scarcity 2021 no LT;mineral resources no LT;mineral resources no LT;UBP;66
Ecological Scarcity 2021 no LT;natural resources no LT;biotic resources no LT;UBP;67
Ecological Scarcity 2021 no LT;ozone depletion no LT;ozone depletion no LT;UBP;68
Ecological Scarcity 2021 no LT;total no LT;UBP no LT;UBP;69
Ecological Scarcity 2021 no LT;waste disposal no LT;radioactive waste to deposit no LT;UBP;70
Ecological Scarcity 2021 no LT;waste disposal no LT;waste, non radioactive no LT;UBP;71
Ecological Scarcity 2021 no LT;water use no LT;water resources, evaporated no LT;UBP;72
Ecological Scarcity 2021;climate change;global warming potential (GWP100);UBP;73
Ecological Scarcity 2021;emissions to air;air pollutants and PM;UBP;74
Ecological Scarcity 2021;emissions to air;carcinogenic substances into air;UBP;75
Ecological Scarcity 2021;emissions to air;heavy metals into air;UBP;76
Ecological Scarcity 2021;emissions to air;radioactive substances into air;UBP;77
Ecological Scarcity 2021;emissions to soil;heavy metals into soil;UBP;78
Ecological Scarcity 2021;emissions to soil;pesticides into soil;UBP;79
Ecological Scarcity 2021;emissions to water;heavy metals into water;UBP;80
Ecological Scarcity 2021;emissions to water;POP into water;UBP;81
Ecological Scarcity 2021;emissions to water;radioactive substances into water;UBP;82
Ecological Scarcity 2021;emissions to water;water pollutants;UBP;83
Ecological Scarcity 2021;energy resources;energy resources;UBP;84
Ecological Scarcity 2021;land use;land use;UBP;85
Ecological Scarcity 2021;mineral resources;mineral resources;UBP;86
Ecological Scarcity 2021;natural resources;biotic resources;UBP;87
Ecological Scarcity 2021;ozone depletion;ozone depletion;UBP;88
Ecological Scarcity 2021;total;UBP;UBP;89
Ecological Scarcity 2021;waste disposal;radioactive waste to deposit;UBP;90
Ecological Scarcity 2021;waste disposal;waste, non radioactive;UBP;91
Ecological Scarcity 2021;water use;water resources, evaporated;UBP;92
Ecosystem Damage Potential;land occupation;ecosystem damage potential;points;93
Ecosystem Damage Potential;land transformation;ecosystem damage potential;points;94
Ecosystem Damage Potential;total;ecosystem damage potential;points;95
EF v3.0 no LT;acidification no LT;accumulated exceedance (AE) no LT;mol H+-Eq;96
EF v3.0 no LT;climate change no LT;global warming potential (GWP100) no LT;kg CO2-Eq;97
EF v3.0 no LT;climate change: biogenic no LT;global warming potential (GWP100) no LT;kg CO2-Eq;98
EF v3.0 no LT;climate change: fossil no LT;global warming potential (GWP100) no LT;kg CO2-Eq;99
EF v3.0 no LT;climate change: land use and land use change no LT;global warming potential (GWP100) no LT;kg CO2-Eq;100
EF v3.0 no LT;ecotoxicity: freshwater no LT;comparative toxic unit for ecosystems (CTUe) no LT;CTUe;101
EF v3.0 no LT;ecotoxicity: freshwater, inorganics no LT;comparative toxic unit for ecosystems (CTUe) no LT;CTUe;102
EF v3.0 no LT;ecotoxicity: freshwater, metals no LT;comparative toxic unit for ecosystems (CTUe) no LT;CTUe;103
EF v3.0 no LT;ecotoxicity: freshwater, organics no LT;comparative toxic unit for ecosystems (CTUe) no LT;CTUe;104
EF v3.0 no LT;energy resources: non-renewable no LT;abiotic depletion potential (ADP): fossil fuels no LT;MJ, net calorific value;105
EF v3.0 no LT;eutrophication: freshwater no LT;fraction of nutrients reaching freshwater end compartment (P) no LT;kg P-Eq;106
EF v3.0 no LT;eutrophication: marine no LT;fraction of nutrients reaching marine end compartment (N) no LT;kg N-Eq;107
EF v3.0 no LT;eutrophication: terrestrial no LT;accumulated exceedance (AE) no LT;mol N-Eq;108
EF v3.0 no LT;human toxicity: carcinogenic no LT;comparative toxic unit for human (CTUh) no LT;CTUh;109
EF v3.0 no LT;human toxicity: carcinogenic, inorganics no LT;comparative toxic unit for human (CTUh) no LT;CTUh;110
EF v3.0 no LT;human toxicity: carcinogenic, metals no LT;comparative toxic unit for human (CTUh) no LT;CTUh;111
EF v3.0 no LT;human toxicity: carcinogenic, organics no LT;comparative toxic unit for human (CTUh) no LT;CTUh;112
EF v3.0 no LT;human toxicity: non-carcinogenic no LT;comparative toxic unit for human (CTUh) no LT;CTUh;113
EF v3.0 no LT;human toxicity: non-carcinogenic, inorganics no LT;comparative toxic unit for human (CTUh) no LT;CTUh;114
EF v3.0 no LT;human toxicity: non-carcinogenic, metals no LT;comparative toxic unit for human (CTUh) no LT;CTUh;115
EF v3.0 no LT;human toxicity: non-carcinogenic, organics no LT;comparative toxic unit for human (CTUh) no LT;CTUh;116
EF v3.0 no LT;ionising radiation: human health no LT;human exposure efficiency relative to u235 no LT;kBq U235-Eq;117
EF v3.0 no LT;land use no LT;soil quality index no LT;dimensionless;118
EF v3.0 no LT;material resources: metals/minerals no LT;abiotic depletion potential (ADP): elements (ultimate reserves) no LT;kg Sb-Eq;119
EF v3.0 no LT;ozone depletion no LT;ozone depletion potential (ODP) no LT;kg CFC-11-Eq;120
EF v3.0 no LT;particulate matter formation no LT;impact on human health no LT;disease incidence;121
EF v3.0 no LT;photochemical oxidant formation: human health no LT;tropospheric ozone concentration increase no LT;kg NMVOC-Eq;122
EF v3.0 no LT;water use no LT;user deprivation potential (deprivation-weighted water consumption) no LT;m3 world Eq deprived;123
EF v3.0;acidification;accumulated exceedance (AE);mol H+-Eq;124
EF v3.0;climate change;global warming potential (GWP100);kg CO2-Eq;125
EF v3.0;climate change: biogenic;global warming potential (GWP100);kg CO2-Eq;126
EF v3.0;climate change: fossil;global warming potential (GWP100);kg CO2-Eq;127
EF v3.0;climate change: land use and land use change;global warming potential (GWP100);kg CO2-Eq;128
EF v3.0;ecotoxicity: freshwater;comparative toxic unit for ecosystems (CTUe);CTUe;129
EF v3.0;ecotoxicity: freshwater, inorganics;comparative toxic unit for ecosystems (CTUe);CTUe;130
EF v3.0;ecotoxicity: freshwater, metals;comparative toxic unit for ecosystems (CTUe);CTUe;131
EF v3.0;ecotoxicity: freshwater, organics;comparative toxic unit for ecosystems (CTUe);CTUe;132
EF v3.0;energy resources: non-renewable;abiotic depletion potential (ADP): fossil fuels;MJ, net calorific value;133
EF v3.0;eutrophication: freshwater;fraction of nutrients reaching freshwater end compartment (P);kg P-Eq;134
EF v3.0;eutrophication: marine;fraction of nutrients reaching marine end compartment (N);kg N-Eq;135
EF v3.0;eutrophication: terrestrial;accumulated exceedance (AE);mol N-Eq;136
EF v3.0;human toxicity: carcinogenic;comparative toxic unit for human (CTUh);CTUh;137
EF v3.0;human toxicity: carcinogenic, inorganics;comparative toxic unit for human (CTUh);CTUh;138
EF v3.0;human toxicity: carcinogenic, metals;comparative toxic unit for human (CTUh);CTUh;139
EF v3.0;human toxicity: carcinogenic, organics;comparative toxic unit for human (CTUh);CTUh;140
EF v3.0;human toxicity: non-carcinogenic;comparative toxic unit for human (CTUh);CTUh;141
EF v3.0;human toxicity: non-carcinogenic, inorganics;comparative toxic unit for human (CTUh);CTUh;142
EF v3.0;human toxicity: non-carcinogenic, metals;comparative toxic unit for human (CTUh);CTUh;143
EF v3.0;human toxicity: non-carcinogenic, organics;comparative toxic unit for human (CTUh);CTUh;144
EF v3.0;ionising radiation: human health;human exposure efficiency relative to u235;kBq U235-Eq;145
EF v3.0;land use;soil quality index;dimensionless;146
EF v3.0;material resources: metals/minerals;abiotic depletion potential (ADP): elements (ultimate reserves);kg Sb-Eq;147
EF v3.0;ozone depletion;ozone depletion potential (ODP);kg CFC-11-Eq;148
EF v3.0;particulate matter formation;impact on human health;disease incidence;149
EF v3.0;photochemical oxidant formation: human health;tropospheric ozone concentration increase;kg NMVOC-Eq;150
EF v3.0;water use;user deprivation potential (deprivation-weighted water consumption);m3 world Eq deprived;151
EF v3.1 no LT;acidification no LT;accumulated exceedance (AE) no LT;mol H+-Eq;152
EF v3.1 no LT;climate change no LT;global warming potential (GWP100) no LT;kg CO2-Eq;153
EF v3.1 no LT;climate change: biogenic no LT;global warming potential (GWP100) no LT;kg CO2-Eq;154
EF v3.1 no LT;climate change: fossil no LT;global warming potential (GWP100) no LT;kg CO2-Eq;155
EF v3.1 no LT;climate change: land use and land use change no LT;global warming potential (GWP100) no LT;kg CO2-Eq;156
EF v3.1 no LT;ecotoxicity: freshwater no LT;comparative toxic unit for ecosystems (CTUe) no LT;CTUe;157
EF v3.1 no LT;ecotoxicity: freshwater, inorganics no LT;comparative toxic unit for ecosystems (CTUe) no LT;CTUe;158
EF v3.1 no LT;ecotoxicity: freshwater, organics no LT;comparative toxic unit for ecosystems (CTUe) no LT;CTUe;159
EF v3.1 no LT;energy resources: non-renewable no LT;abiotic depletion potential (ADP): fossil fuels no LT;MJ, net calorific value;160
EF v3.1 no LT;eutrophication: freshwater no LT;fraction of nutrients reaching freshwater end compartment (P) no LT;kg P-Eq;161
EF v3.1 no LT;eutrophication: marine no LT;fraction of nutrients reaching marine end compartment (N) no LT;kg N-Eq;162
EF v3.1 no LT;eutrophication: terrestrial no LT;accumulated exceedance (AE) no LT;mol N-Eq;163
EF v3.1 no LT;human toxicity: carcinogenic no LT;comparative toxic unit for human (CTUh) no LT;CTUh;164
EF v3.1 no LT;human toxicity: carcinogenic, inorganics no LT;comparative toxic unit for human (CTUh) no LT;CTUh;165
EF v3.1 no LT;human toxicity: carcinogenic, organics no LT;comparative toxic unit for human (CTUh) no LT;CTUh;166
EF v3.1 no LT;human toxicity: non-carcinogenic no LT;comparative toxic unit for human (CTUh) no LT;CTUh;167
EF v3.1 no LT;human toxicity: non-carcinogenic, inorganics no LT;comparative toxic unit for human (CTUh) no LT;CTUh;168
EF v3.1 no LT;human toxicity: non-carcinogenic, organics no LT;comparative toxic unit for human (CTUh) no LT;CTUh;169
EF v3.1 no LT;ionising radiation: human health no LT;human exposure efficiency relative to u235 no LT;kBq U235-Eq;170
EF v3.1 no LT;land use no LT;soil quality index no LT;dimensionless;171
EF v3.1 no LT;material resources: metals/minerals no LT;abiotic depletion potential (ADP): elements (ultimate reserves) no LT;kg Sb-Eq;172
EF v3.1 no LT;ozone depletion no LT;ozone depletion potential (ODP) no LT;kg CFC-11-Eq;173
EF v3.1 no LT;particulate matter formation no LT;impact on human health no LT;disease incidence;174
EF v3.1 no LT;photochemical oxidant formation: human health no LT;tropospheric ozone concentration increase no LT;kg NMVOC-Eq;175
EF v3.1 no LT;water use no LT;user deprivation potential (deprivation-weighted water consumption) no LT;m3 world Eq deprived;176
EF v3.1;acidification;accumulated exceedance (AE);mol H+-Eq;177
EF v3.1;climate change;global warming potential (GWP100);kg CO2-Eq;178
EF v3.1;climate change: biogenic;global warming potential (GWP100);kg CO2-Eq;179
EF v3.1;climate change: fossil;global warming potential (GWP100);kg CO2-Eq;180
EF v3.1;climate change: land use and land use change;global warming potential (GWP100);kg CO2-Eq;181
EF v3.1;ecotoxicity: freshwater;comparative toxic unit for ecosystems (CTUe);CTUe;182
EF v3.1;ecotoxicity: freshwater, inorganics;comparative toxic unit for ecosystems (CTUe);CTUe;183
EF v3.1;ecotoxicity: freshwater, organics;comparative toxic unit for ecosystems (CTUe);CTUe;184
EF v3.1;energy resources: non-renewable;abiotic depletion potential (ADP): fossil fuels;MJ, net calorific value;185
EF v3.1;eutrophication: freshwater;fraction of nutrients reaching freshwater end compartment (P);kg P-Eq;186
EF v3.1;eutrophication: marine;fraction of nutrients reaching marine end compartment (N);kg N-Eq;187
EF v3.1;eutrophication: terrestrial;accumulated exceedance (AE);mol N-Eq;188
EF v3.1;human toxicity: carcinogenic;comparative toxic unit for human (CTUh);CTUh;189
EF v3.1;human toxicity: carcinogenic, inorganics;comparative toxic unit for human (CTUh);CTUh;190
EF v3.1;human toxicity: carcinogenic, organics;comparative toxic unit for human (CTUh);CTUh;191
EF v3.1;human toxicity: non-carcinogenic;comparative toxic unit for human (CTUh);CTUh;192
EF v3.1;human toxicity: non-carcinogenic, inorganics;comparative toxic unit for human (CTUh);CTUh;193
EF v3.1;human toxicity: non-carcinogenic, organics;comparative toxic unit for human (CTUh);CTUh;194
EF v3.1;ionising radiation: human health;human exposure efficiency relative to u235;kBq U235-Eq;195
EF v3.1;land use;soil quality index;dimensionless;196
EF v3.1;material resources: metals/minerals;abiotic depletion potential (ADP): elements (ultimate reserves);kg Sb-Eq;197
EF v3.1;ozone depletion;ozone depletion potential (ODP);kg CFC-11-Eq;198
EF v3.1;particulate matter formation;impact on human health;disease incidence;199
EF v3.1;photochemical oxidant formation: human health;tropospheric ozone concentration increase;kg NMVOC-Eq;200
EF v3.1;water use;user deprivation potential (deprivation-weighted water consumption);m3 world Eq deprived;201
EPS 2020d no LT;emissions to air no LT;monetary impact value no LT;EUR 2018;202
EPS 2020d no LT;emissions to soil no LT;monetary impact value no LT;EUR 2018;203
EPS 2020d no LT;emissions to water no LT;monetary impact value no LT;EUR 2018;204
EPS 2020d no LT;energy resources: non-renewable, fossil no LT;monetary impact value no LT;EUR 2018;205
EPS 2020d no LT;land use no LT;monetary impact value no LT;EUR 2018;206
EPS 2020d no LT;material resources: metals no LT;monetary impact value no LT;EUR 2018;207
EPS 2020d no LT;total no LT;monetary impact value no LT;EUR 2018;208
EPS 2020d;emissions to air;monetary impact value;EUR 2018;209
EPS 2020d;emissions to soil;monetary impact value;EUR 2018;210
EPS 2020d;emissions to water;monetary impact value;EUR 2018;211
EPS 2020d;energy resources: non-renewable, fossil;monetary impact value;EUR 2018;212
EPS 2020d;land use;monetary impact value;EUR 2018;213
EPS 2020d;material resources: metals;monetary impact value;EUR 2018;214
EPS 2020d;total;monetary impact value;EUR 2018;215
IMPACT World+ v2.0.1, footprint version;climate change;carbon footprint;kg CO2-Eq;216
IMPACT World+ v2.0.1, footprint version;ecosystem quality;remaining ecosystem quality damage;PDF.m2.yr;217
IMPACT World+ v2.0.1, footprint version;energy resources: non-renewable;fossil and nuclear energy use;MJ deprived;218
IMPACT World+ v2.0.1, footprint version;human health;remaining human health damage;DALYs;219
IMPACT World+ v2.0.1, footprint version;water use;water scarcity footprint;m3 world Eq deprived;220
Inventory results and indicators;resources;total surface occupation;m2a;221
Inventory results and indicators;resources;land occupation;m2a;222
Inventory results and indicators;resources;land occupation by flooding;m2a;223
Inventory results and indicators;resources;seabed occupation;m2a;224
