index;activityName;geography;product;unitName
20029;treatment of bottom ash, MSWI, residue from mechanical treatment, laser printer, slag compartment;GLO;bottom ash, MSWI, residue from mechanical treatment, laser printer;kg
20030;treatment of bottom ash, MSWI, residue from shredder fraction from manual dismantling, slag compartment;GLO;bottom ash, MSWI, residue from shredder fraction from manual dismantling;kg
20031;treatment of bottom ash, MSWI, scrap aluminium, slag compartment;Europe without Switzerland;bottom ash, MSWI, scrap aluminium;kg
20032;treatment of bottom ash, MSWI, scrap aluminium, slag compartment;RoW;bottom ash, MSWI, scrap aluminium;kg
20033;treatment of bottom ash, MSWI, scrap copper, slag compartment;Europe without Switzerland;bottom ash, MSWI, scrap copper;kg
20034;treatment of bottom ash, MSWI, scrap copper, slag compartment;RoW;bottom ash, MSWI, scrap copper;kg
20035;treatment of bottom ash, MSWI, scrap steel, slag compartment;Europe without Switzerland;bottom ash, MSWI, scrap steel;kg
20036;treatment of bottom ash, MSWI, scrap steel, slag compartment;RoW;bottom ash, MSWI, scrap steel;kg
20037;treatment of bottom ash, MSWI, scrap tin sheet, slag compartment;GLO;bottom ash, MSWI, scrap tin sheet;kg
20038;treatment of bottom ash, MSWI, spent anion exchange resin from potable water production, slag compartment;GLO;bottom ash, MSWI, spent anion exchange resin from potable water production;kg
20039;treatment of bottom ash, MSWI, spent cation exchange resin from potable water production, slag compartment;GLO;bottom ash, MSWI, spent cation exchange resin from potable water production;kg
20040;treatment of bottom ash, MSWI, steel in car shredder residue, slag compartment;GLO;bottom ash, MSWI, steel in car shredder residue;kg
20041;treatment of bottom ash, MSWI, used LCD module, slag compartment;GLO;bottom ash, MSWI, used LCD module;kg
20042;treatment of bottom ash, MSWI, waste bitumen sheet, slag compartment;GLO;bottom ash, MSWI, waste bitumen sheet;kg
20043;treatment of bottom ash, MSWI, waste building wood, chrome preserved, slag compartment;GLO;bottom ash, MSWI, waste building wood, chrome preserved;kg
20044;treatment of bottom ash, MSWI, waste cement-fibre slab, dismantled, slag compartment;GLO;bottom ash, MSWI, waste cement-fibre slab, dismantled;kg
20045;treatment of bottom ash, MSWI, waste emulsion paint, slag compartment;Europe without Switzerland;bottom ash, MSWI, waste emulsion paint;kg
20046;treatment of bottom ash, MSWI, waste emulsion paint, slag compartment;RoW;bottom ash, MSWI, waste emulsion paint;kg
20047;treatment of bottom ash, MSWI, waste expanded polystyrene, slag compartment;GLO;bottom ash, MSWI, waste expanded polystyrene;kg
20048;treatment of bottom ash, MSWI, waste glass, slag compartment;GLO;bottom ash, MSWI, waste glass;kg
20049;treatment of bottom ash, MSWI, waste graphical paper, slag compartment;GLO;bottom ash, MSWI, waste graphical paper;kg
20050;treatment of bottom ash, MSWI, waste newspaper, slag compartment;GLO;bottom ash, MSWI, waste newspaper;kg
20051;treatment of bottom ash, MSWI, waste packaging paper, slag compartment;GLO;bottom ash, MSWI, waste packaging paper;kg
20052;treatment of bottom ash, MSWI, waste paint, slag compartment;Europe without Switzerland;bottom ash, MSWI, waste paint;kg
20053;treatment of bottom ash, MSWI, waste paint, slag compartment;RoW;bottom ash, MSWI, waste paint;kg
20054;treatment of bottom ash, MSWI, waste paperboard, slag compartment;GLO;bottom ash, MSWI, waste paperboard;kg
20055;treatment of bottom ash, MSWI, waste plastic, consumer electronics, slag compartment;GLO;bottom ash, MSWI, waste plastic, consumer electronics;kg
20056;treatment of bottom ash, MSWI, waste plastic, industrial electronics, slag compartment;GLO;bottom ash, MSWI, waste plastic, industrial electronics;kg
20057;treatment of bottom ash, MSWI, waste plastic, mixture, slag compartment;GLO;bottom ash, MSWI, waste plastic, mixture;kg
20058;treatment of bottom ash, MSWI, waste polyethylene terephthalate, slag compartment;GLO;bottom ash, MSWI, waste polyethylene terephthalate;kg
20059;treatment of bottom ash, MSWI, waste polyethylene, slag compartment;GLO;bottom ash, MSWI, waste polyethylene;kg
20060;treatment of bottom ash, MSWI, waste polypropylene, slag compartment;GLO;bottom ash, MSWI, waste polypropylene;kg
20061;treatment of bottom ash, MSWI, waste polystyrene, slag compartment;GLO;bottom ash, MSWI, waste polystyrene;kg
